ACTIVIDAD;PRODUCTO;AÑO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;TOTAL_TN
PROCESAMIENTO DEL ESPARRAGO;Esparrago congelado;2015;533,9;312,6;810,6;440,6;528,9;465,1;467,2;157,5;94,2;237,7;281,4;186,1;4.515,7
PROCESAMIENTO DEL ESPARRAGO;Esparrago congelado;2016;302,4;321,2;1.112,1;569,1;487,4;482,0;380,3;272,1;1.525,9;1.449,3;571,7;804,1;8.277,7
PROCESAMIENTO DEL ESPARRAGO;Esparrago congelado;2017;285,4;453,0;1.598,4;922,3;238,1;292,5;623,5;183,4;1.169,7;2.242,8;784,3;806,3;9.599,9
PROCESAMIENTO DEL ESPARRAGO;Esparrago congelado;2018;399,5;406,3;1.724,9;1.480,9;356,8;234,7;219,9;810,3;974,5;1.136,3;357,6;903,0;9.004,8
PROCESAMIENTO DEL ESPARRAGO;Esparrago congelado;2019;849,9;287,6;469,4;483,6;369,6;359,8;322,4;330,3;674,2;886,4;891,6;612,9;6.537,6
PROCESAMIENTO DEL ESPARRAGO;Esparrago congelado;2020;327,5;465,2;1.130,7;879,2;849,7;51,9;54,0;234,4;345,2;1.395,6;1.268,1;600,9;7.602,3
PROCESAMIENTO DEL ESPARRAGO;Esparrago congelado;2021;445,5;219,6;675,4;1.222,1;966,0;199,5;94,1;153,3;1.479,0;1.217,8;988,4;750,8;8.411,6
PROCESAMIENTO DEL ESPARRAGO;Esparrago congelado;2022;503,7;244,6;823,1;401,8;787,3;263,3;475,2;157,5;94,2;237,7;281,4;186,1;4.456,0
PROCESAMIENTO DEL ESPARRAGO;Esparrago congelado;2023;467,0;78,2;479,3;543,4;490,2;326,6;160,0;157,5;94,2;132,0;281,4;252,0;3.461,7
PROCESAMIENTO DEL ESPARRAGO;Esparrago congelado;2024;173,8;212,4;446,4;178,3;195,3;83,9;70,0;12,0;203,8;507,1;80,3;0,0;2.163,4
PROCESAMIENTO DEL ESPARRAGO;Esparrago en conserva;2010;168,3;50,5;87,8;132,8;503,9;173,7;77,2;76,3;251,0;366,5;472,5;383,4;2.744,0
PROCESAMIENTO DEL ESPARRAGO;Esparrago en conserva;2011;398,6;223,3;170,1;97,3;131,0;113,2;105,9;163,8;224,9;459,2;466,8;274,3;2.828,6
PROCESAMIENTO DEL ESPARRAGO;Esparrago en conserva;2012;235,6;109,4;110,8;200,0;196,9;175,1;203,4;221,4;339,3;472,6;549,8;284,2;3.098,3
PROCESAMIENTO DEL ESPARRAGO;Esparrago en conserva;2013;227,0;107,0;32,0;108,0;90,0;70,0;47,0;132,0;279,0;438,0;373,0;175,0;2.078,0
PROCESAMIENTO DEL ESPARRAGO;Esparrago en conserva;2014;216,9;71,6;85,4;139,6;149,0;96,3;110,2;118,9;227,0;318,3;255,0;210,1;1.998,3
PROCESAMIENTO DEL ESPARRAGO;Esparrago en conserva;2015;38,0;20,0;25,0;59,6;75,3;57,3;40,2;67,1;605,5;704,0;111,5;108,0;1.911,5
PROCESAMIENTO DEL ESPARRAGO;Esparrago en conserva;2016;50,0;48,0;40,0;642,7;58,4;126,9;41,7;48,9;69,4;104,1;119,0;116,3;1.465,4
PROCESAMIENTO DEL ESPARRAGO;Esparrago en conserva;2017;72,0;43,0;48,0;127,5;324,9;181,0;319,2;172,8;472,8;244,0;209,7;276,4;2.491,3
PROCESAMIENTO DEL ESPARRAGO;Esparrago en conserva;2018;54,0;39,0;14,0;234,3;144,1;53,8;68,8;22,0;36,8;222,9;168,1;33,4;1.091,1
PROCESAMIENTO DEL ESPARRAGO;Esparrago en conserva;2019;31,0;22,0;28,0;140,0;462,3;592,6;548,5;378,7;211,3;868,8;889,8;557,0;4.729,8
PROCESAMIENTO DEL ESPARRAGO;Esparrago en conserva;2020;87,4;47,7;25,5;34,2;549,8;577,8;91,7;342,6;54,7;415,9;747,4;559,4;3.534,2
PROCESAMIENTO DEL ESPARRAGO;Esparrago en conserva;2021;116,7;40,0;51,0;65,1;227,4;1.097,1;133,4;150,0;150,9;293,1;377,7;346,9;3.049,2
PROCESAMIENTO DEL ESPARRAGO;Esparrago en conserva;2022;117,9;106,5;186,5;129,9;170,0;115,3;134,5;85,4;92,0;136,0;280,5;382,2;1.936,7
PROCESAMIENTO DEL ESPARRAGO;Esparrago en conserva;2023;106,2;92,8;166,1;152,6;304,7;320,0;214,9;124,9;192,2;589,3;394,2;35,5;2.693,4
PROCESAMIENTO DEL ESPARRAGO;Esparrago en conserva;2024;105,0;36,8;166,1;152,6;196,2;120,0;214,9;120,0;192,2;230,0;477,4;0,0;2.011,3
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2010;5.746,0;2.897,3;4.271,3;5.408,6;4.359,3;3.479,1;3.604,5;5.153,1;12.169,5;12.966,7;8.223,1;8.092,0;76.370,3
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2011;4.845,8;2.689,5;2.916,6;4.536,4;4.005,0;3.724,9;5.104,5;6.530,6;9.937,5;10.131,2;8.073,2;9.400,4;71.895,5
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2012;4.057,1;2.677,2;3.707,6;4.305,7;4.792,5;3.741,3;3.873,1;5.938,4;10.119,5;11.350,8;8.984,1;8.117,0;71.664,3
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2013;4.594,1;2.578,5;2.787,7;3.679,6;5.131,4;2.447,8;3.607,9;6.735,7;12.384,4;13.227,9;10.167,5;7.847,9;75.190,4
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2014;4.492,2;1.822,0;3.523,4;6.489,0;6.053,5;4.113,8;4.988,0;8.038,4;12.684,4;11.936,6;8.682,9;6.041,9;78.866,3
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2015;3.690,2;2.340,5;2.635,6;4.708,0;3.775,5;2.813,7;5.149,6;6.472,2;11.467,6;11.182,9;8.196,1;10.871,0;73.302,8
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2016;4.318,4;1.954,8;3.101,4;4.233,6;4.011,0;3.923,8;4.854,5;7.201,1;13.235,7;13.312,8;9.911,1;7.300,6;77.358,7
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2017;5.254,8;2.518,5;1.770,2;5.334,8;3.389,0;2.406,3;2.171,1;4.228,0;7.447,6;13.026,0;9.783,3;7.969,6;65.299,1
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2018;4.712,6;1.238,0;3.021,3;5.291,6;5.746,7;3.760,0;4.958,4;6.108,2;9.484,0;11.583,1;9.972,5;8.379,0;74.255,5
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2019;4.965,8;3.800,8;3.904,2;5.285,6;5.175,1;3.646,4;3.683,8;4.742,3;10.350,8;13.052,0;8.565,1;6.981,6;74.153,4
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2020;5.239,9;3.946,2;998,0;1.915,2;4.532,9;1.935,2;4.804,2;5.284,5;8.330,4;10.900,1;8.813,8;4.811,7;61.511,9
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2021;5.564,1;1.392,1;1.476,5;5.340,0;5.537,7;3.300,9;4.146,7;5.941,2;9.176,1;9.993,9;7.783,2;7.907,9;67.560,2
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2022;3.281,5;1.048,6;2.887,8;6.129,7;4.369,4;2.586,9;2.672,4;4.717,8;7.165,2;7.088,8;7.163,6;5.233,8;54.345,5
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2023;6.237,5;2.492,2;3.715,5;3.887,4;4.089,0;1.886,6;2.501,7;3.027,6;4.009,8;4.520,0;4.577,2;3.468,8;44.413,3
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2024;2.580,2;1.414,0;865,3;2.326,8;1.786,6;1.281,6;1.631,4;2.440,7;3.463,8;3.571,0;4.251,5;0,0;25.612,7
