ACTIVIDAD;PRODUCTO;AÑO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;TOTAL_TN
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Vacunos;2022;902,3;892,6;851,3;768,9;757,1;759,5;681,0;653,8;775,9;781,4;752,5;888,4;9464,8
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Vacunos;2023;808,2;753,0;721,0;738,4;598,4;617,1;622,7;822,5;894,2;962,3;894,9;936,2;9368,9
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Vacunos;2024;2413,4;2551,8;3034,3;1063,0;1422,2;1625,2;1743,4;1809,6;2694,9;2921,8;2491,0;0,0;23770,6
PROCESAMIENTO DEL CACAO;Cacao grano para exp;2010;0,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2
PROCESAMIENTO DEL CACAO;Cacao grano para exp;2011;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;520,0;125,0;0,0;0,0;645,0
PROCESAMIENTO DEL CACAO;Cacao grano para exp;2012;0,0;75,0;200,0;0,0;0,0;113,0;300,0;100,0;500,0;319,0;0,0;0,0;1607,0
PROCESAMIENTO DEL CACAO;Cacao grano para exp;2013;0,0;0,0;0,0;100,0;200,0;200,0;350,0;376,0;0,0;1101,0;1225,0;500,0;4052,0
PROCESAMIENTO DEL CACAO;Cacao grano para exp;2014;200,4;266,5;212,5;100,0;549,5;848,2;1515,8;1261,7;1225,9;857,3;1099,8;600,8;8738,2
PROCESAMIENTO DEL CACAO;Cacao grano para exp;2015;300,6;100,0;50,0;550,6;1100,0;1378,0;2365,2;2313,5;1646,4;1675,0;1350,5;2285,9;15115,6
PROCESAMIENTO DEL CACAO;Cacao grano para exp;2016;100,0;375,5;874,1;1503,3;2097,2;1340,4;1924,8;1354,6;1038,4;789,2;820,3;608,0;12825,8
PROCESAMIENTO DEL CACAO;Cacao grano para exp;2017;474,0;303,0;176,0;544,3;328,6;607,1;670,3;1436,1;842,0;301,1;101,8;531,6;6316,0
PROCESAMIENTO DEL CACAO;Cacao grano para exp;2018;250,1;428,0;350,1;739,5;50,1;729,1;500,0;262,7;225,0;600,0;1100,0;12,6;5247,1
PROCESAMIENTO DEL CACAO;Cacao grano para exp;2019;0,0;212,6;200,0;26,0;600,0;650,4;1629,0;1220,0;700,1;879,4;417,9;735,0;7270,4
PROCESAMIENTO DEL CACAO;Cacao grano para exp;2020;188,2;400,0;376,1;100,0;203,0;312,6;743,3;1088,0;650,0;0,0;0,0;0,0;4061,1
PROCESAMIENTO DEL CACAO;Cacao grano para exp;2021;188,2;0,0;0,0;0,0;0,0;20,0;64,0;82,7;325,1;272,6;232,6;221,0;1406,2
PROCESAMIENTO DEL CACAO;Cacao grano para exp;2022;0,0;0,0;302,0;0,0;166,0;0,0;196,0;0,0;600,0;301,0;600,0;323,0;2488,0
PROCESAMIENTO DEL CACAO;Cacao grano para exp;2023;301,0;300,0;200,0;150,0;100,0;30,0;0,0;50,1;343,2;122,1;200,0;51,0;1847,4
PROCESAMIENTO DEL CACAO;Cacao grano para exp;2024;18,6;56,0;128,0;1300,0;985,0;1195,0;945,7;622,6;418,6;1015,9;287,6;0,0;6972,9
PROCESAMIENTO DEL CACAO;Chocolate y cobertura;2011;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PROCESAMIENTO DEL CACAO;Chocolate y cobertura;2012;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PROCESAMIENTO DEL CACAO;Chocolate y cobertura;2013;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PROCESAMIENTO DEL CACAO;Cocoa;2010;412,9;328,1;273,3;670,8;665,2;717,9;751,9;637,3;649,0;505,2;460,1;295,5;6367,0
PROCESAMIENTO DEL CACAO;Cocoa;2011;262,3;329,5;406,1;302,6;308,0;542,8;399,5;590,8;605,8;677,7;443,5;203,1;5071,5
PROCESAMIENTO DEL CACAO;Cocoa;2012;193,0;272,5;398,6;203,9;543,1;405,6;332,1;478,1;490,6;298,6;403,4;391,0;4410,4
PROCESAMIENTO DEL CACAO;Cocoa;2013;311,1;269,6;265,4;281,5;385,6;596,2;498,3;475,6;393,3;420,5;315,4;282,0;4494,2
PROCESAMIENTO DEL CACAO;Cocoa;2014;380,4;223,7;559,1;605,6;698,9;318,3;833,7;797,5;711,6;466,2;532,7;471,5;6599,1
PROCESAMIENTO DEL CACAO;Cocoa;2015;305,3;516,3;50,0;89,0;110,0;81,0;96,0;127,0;85,0;115,0;81,0;48,0;1703,6
PROCESAMIENTO DEL CACAO;Cocoa;2016;95,0;219,0;73,0;91,0;84,0;133,0;137,0;92,0;134,0;134,0;120,0;81,0;1393,0
PROCESAMIENTO DEL CACAO;Cocoa;2017;99,0;75,0;114,0;68,0;148,0;188,0;163,0;182,0;131,0;0,0;0,0;0,0;1168,0
PROCESAMIENTO DEL CACAO;Cocoa;2018;0,0;0,0;0,0;0,0;133,0;221,0;0,0;217,0;0,0;0,0;0,0;0,0;571,0
PROCESAMIENTO DEL CACAO;Cocoa;2019;223,0;125,0;282,0;154,0;161,0;198,0;236,0;188,0;314,0;184,0;209,0;185,0;2459,0
PROCESAMIENTO DEL CACAO;Cocoa;2020;156,0;208,0;196,0;99,0;112,0;159,0;189,0;137,0;119,0;204,0;262,0;173,0;2014,0
PROCESAMIENTO DEL CACAO;Cocoa;2021;122,0;119,0;189,5;162,6;165,5;196,0;279,0;216,6;269,0;323,0;229,7;301,3;2573,1
PROCESAMIENTO DEL CACAO;Cocoa;2022;99,0;193,0;171,0;380,0;142,0;262,0;295,0;345,0;243,0;214,0;282,0;222,0;2848,0
PROCESAMIENTO DEL CACAO;Cocoa;2023;322,0;278,0;219,0;221,0;321,0;301,0;338,0;231,0;196,0;189,0;149,0;88,0;2853,0
PROCESAMIENTO DEL CACAO;Cocoa;2024;121,0;133,0;116,0;111,0;150,0;346,0;201,6;249,6;108,3;298,8;254,3;0,0;2089,6
PROCESAMIENTO DEL CACAO;Licor de cacao;2010;65,4;92,3;110,6;83,4;122,7;190,1;194,6;124,1;154,3;140,6;148,6;32,1;1458,8
PROCESAMIENTO DEL CACAO;Licor de cacao;2011;78,5;51,1;102,7;146,2;160,1;134,7;227,7;181,0;181,7;113,8;119,0;127,1;1623,5
PROCESAMIENTO DEL CACAO;Licor de cacao;2012;26,1;86,8;93,7;161,5;153,5;125,6;147,3;156,1;74,6;45,0;73,2;16,5;1159,9
PROCESAMIENTO DEL CACAO;Licor de cacao;2013;56,4;78,1;45,4;79,9;51,3;118,4;115,0;73,4;101,0;140,5;86,9;65,5;1011,6
PROCESAMIENTO DEL CACAO;Licor de cacao;2014;68,1;83,9;45,8;101,7;90,6;76,4;64,0;140,6;141,5;64,9;109,0;69,0;1055,5
PROCESAMIENTO DEL CACAO;Licor de cacao;2015;38,3;117,0;185,8;214,1;107,9;140,2;123,6;233,2;169,8;10,0;41,0;151,8;1532,7
PROCESAMIENTO DEL CACAO;Licor de cacao;2016;26,0;170,3;128,4;290,1;225,0;336,0;110,2;295,1;200,5;193,3;187,7;148,0;2310,6
PROCESAMIENTO DEL CACAO;Licor de cacao;2017;194,8;281,7;139,9;125,3;258,1;220,0;211,7;294,6;476,5;315,4;852,0;415,0;3784,9
PROCESAMIENTO DEL CACAO;Licor de cacao;2018;457,2;269,0;227,5;176,9;274,1;334,1;230,0;358,9;332,2;490,2;232,4;452,2;3834,8
PROCESAMIENTO DEL CACAO;Licor de cacao;2019;267,6;283,9;1041,3;391,1;312,6;397,6;465,0;449,7;500,0;447,5;287,8;247,6;5091,7
